state_abbv,county,state_name,country,county_state,Date,Confirmed,Deaths,Recovered
AR,Craighead,Arkansas,US,"Craighead, AR",3/29/2020,6,0,0
AR,Crawford,Arkansas,US,"Crawford, AR",3/29/2020,1,0,0
AR,Crittenden,Arkansas,US,"Crittenden, AR",3/29/2020,17,0,0
AR,Cross,Arkansas,US,"Cross, AR",3/29/2020,4,0,0
AR,Dallas,Arkansas,US,"Dallas, AR",3/29/2020,0,0,0
AR,Desha,Arkansas,US,"Desha, AR",3/29/2020,4,0,0
AR,Drew,Arkansas,US,"Drew, AR",3/29/2020,4,0,0
AR,Faulkner,Arkansas,US,"Faulkner, AR",3/29/2020,30,1,0
AR,Franklin,Arkansas,US,"Franklin, AR",3/29/2020,0,0,0
AR,Fulton,Arkansas,US,"Fulton, AR",3/29/2020,0,0,0
AR,Garland,Arkansas,US,"Garland, AR",3/29/2020,25,0,0
AR,Grant,Arkansas,US,"Grant, AR",3/29/2020,4,0,0
AR,Greene,Arkansas,US,"Greene, AR",3/29/2020,4,0,0
AR,Hempstead,Arkansas,US,"Hempstead, AR",3/29/2020,1,0,0
AR,Hot Spring,Arkansas,US,"Hot Spring, AR",3/29/2020,4,0,0
AR,Howard,Arkansas,US,"Howard, AR",3/29/2020,4,0,0
AR,Independence,Arkansas,US,"Independence, AR",3/29/2020,4,0,0
AR,Izard,Arkansas,US,"Izard, AR",3/29/2020,0,0,0
AR,Jackson,Arkansas,US,"Jackson, AR",3/29/2020,0,0,0
AR,Jefferson,Arkansas,US,"Jefferson, AR",3/29/2020,25,0,0
AR,Johnson,Arkansas,US,"Johnson, AR",3/29/2020,4,0,0
AR,Lafayette,Arkansas,US,"Lafayette, AR",3/29/2020,0,0,0
AR,Lawrence,Arkansas,US,"Lawrence, AR",3/29/2020,2,0,0
AR,Lee,Arkansas,US,"Lee, AR",3/29/2020,0,0,0
AR,Lincoln,Arkansas,US,"Lincoln, AR",3/29/2020,6,0,0
AR,Little River,Arkansas,US,"Little River, AR",3/29/2020,0,0,0
AR,Logan,Arkansas,US,"Logan, AR",3/29/2020,0,0,0
AR,Lonoke,Arkansas,US,"Lonoke, AR",3/29/2020,1,0,0
AR,Madison,Arkansas,US,"Madison, AR",3/29/2020,0,0,0
AR,Marion,Arkansas,US,"Marion, AR",3/29/2020,0,0,0
AR,Miller,Arkansas,US,"Miller, AR",3/29/2020,0,0,0
AR,Mississippi,Arkansas,US,"Mississippi, AR",3/29/2020,0,0,0
AR,Monroe,Arkansas,US,"Monroe, AR",3/29/2020,0,0,0
AR,Montgomery,Arkansas,US,"Montgomery, AR",3/29/2020,0,0,0
AR,Nevada,Arkansas,US,"Nevada, AR",3/29/2020,1,0,0
AR,Newton,Arkansas,US,"Newton, AR",3/29/2020,0,0,0
AR,Ouachita,Arkansas,US,"Ouachita, AR",3/29/2020,0,0,0
AR,Perry,Arkansas,US,"Perry, AR",3/29/2020,0,0,0
AR,Phillips,Arkansas,US,"Phillips, AR",3/29/2020,0,0,0
AR,Pike,Arkansas,US,"Pike, AR",3/29/2020,4,0,0
AR,Poinsett,Arkansas,US,"Poinsett, AR",3/29/2020,4,0,0
AR,Polk,Arkansas,US,"Polk, AR",3/29/2020,4,0,0
AR,Pope,Arkansas,US,"Pope, AR",3/29/2020,4,0,0
AR,Prairie,Arkansas,US,"Prairie, AR",3/29/2020,0,0,0
AR,Pulaski,Arkansas,US,"Pulaski, AR",3/29/2020,93,0,0
AR,Randolph,Arkansas,US,"Randolph, AR",3/29/2020,4,0,0
AR,Saline,Arkansas,US,"Saline, AR",3/29/2020,6,0,0
AR,Scott,Arkansas,US,"Scott, AR",3/29/2020,0,0,0
AR,Searcy,Arkansas,US,"Searcy, AR",3/29/2020,2,0,0
AR,Sebastian,Arkansas,US,"Sebastian, AR",3/29/2020,2,0,0
AR,Sevier,Arkansas,US,"Sevier, AR",3/29/2020,2,0,0
AR,Sharp,Arkansas,US,"Sharp, AR",3/29/2020,0,0,0
AR,St. Francis,Arkansas,US,"St. Francis, AR",3/29/2020,0,0,0
AR,Stone,Arkansas,US,"Stone, AR",3/29/2020,1,0,0
AR,Union,Arkansas,US,"Union, AR",3/29/2020,5,0,0
AR,Van Buren,Arkansas,US,"Van Buren, AR",3/29/2020,17,0,0
AR,Washington,Arkansas,US,"Washington, AR",3/29/2020,14,0,0
AR,White,Arkansas,US,"White, AR",3/29/2020,6,0,0
AR,Woodruff,Arkansas,US,"Woodruff, AR",3/29/2020,1,0,0
AR,Yell,Arkansas,US,"Yell, AR",3/29/2020,0,0,0
California,Aaall,California,US,California,3/29/2020,5797,124,3
CA,Alameda,California,US,"Alameda, CA",3/29/2020,254,7,0
CA,Alpine,California,US,"Alpine, CA",3/29/2020,0,0,0
CA,Amador,California,US,"Amador, CA",3/29/2020,2,0,0
CA,Butte,California,US,"Butte, CA",3/29/2020,5,0,0
CA,Calaveras,California,US,"Calaveras, CA",3/29/2020,3,0,0
CA,Colusa,California,US,"Colusa, CA",3/29/2020,1,0,0
CA,Contra Costa,California,US,"Contra Costa, CA",3/29/2020,175,3,0
CA,Del Norte,California,US,"Del Norte, CA",3/29/2020,0,0,0
CA,El Dorado,California,US,"El Dorado, CA",3/29/2020,12,0,0
CA,Fresno,California,US,"Fresno, CA",3/29/2020,43,0,0
CA,Glenn,California,US,"Glenn, CA",3/29/2020,1,0,0
CA,Humboldt,California,US,"Humboldt, CA",3/29/2020,18,0,0
CA,Imperial,California,US,"Imperial, CA",3/29/2020,25,0,0
CA,Inyo,California,US,"Inyo, CA",3/29/2020,5,0,0
CA,Kern,California,US,"Kern, CA",3/29/2020,50,1,0
CA,Kings,California,US,"Kings, CA",3/29/2020,2,0,0
CA,Lake,California,US,"Lake, CA",3/29/2020,0,0,0
CA,Lassen,California,US,"Lassen, CA",3/29/2020,0,0,0
CA,Los Angeles,California,US,"Los Angeles, CA",3/29/2020,1804,32,0
CA,Madera,California,US,"Madera, CA",3/29/2020,11,0,1
CA,Marin,California,US,"Marin, CA",3/29/2020,74,1,0
CA,Mariposa,California,US,"Mariposa, CA",3/29/2020,0,0,0
CA,Mendocino,California,US,"Mendocino, CA",3/29/2020,3,0,0
CA,Merced,California,US,"Merced, CA",3/29/2020,8,0,0
CA,Modoc,California,US,"Modoc, CA",3/29/2020,0,0,0
CA,Mono,California,US,"Mono, CA",3/29/2020,11,0,0
CA,Monterey,California,US,"Monterey, CA",3/29/2020,32,0,0
CA,Napa,California,US,"Napa, CA",3/29/2020,10,0,0
CA,Nevada,California,US,"Nevada, CA",3/29/2020,12,0,0
CA,Orange,California,US,"Orange, CA",3/29/2020,431,4,0
CA,Placer,California,US,"Placer, CA",3/29/2020,53,2,0
CA,Plumas,California,US,"Plumas, CA",3/29/2020,0,0,0
CA,Riverside,California,US,"Riverside, CA",3/29/2020,233,8,0
CA,Sacramento,California,US,"Sacramento, CA",3/29/2020,164,6,0
CA,San Benito,California,US,"San Benito, CA",3/29/2020,14,1,2
CA,San Bernardino,California,US,"San Bernardino, CA",3/29/2020,76,3,0
CA,San Diego,California,US,"San Diego, CA",3/29/2020,488,7,0
CA,San Francisco,California,US,"San Francisco, CA",3/29/2020,340,5,0
CA,San Joaquin,California,US,"San Joaquin, CA",3/29/2020,113,4,0
CA,San Luis Obispo,California,US,"San Luis Obispo, CA",3/29/2020,67,0,0
CA,San Mateo,California,US,"San Mateo, CA",3/29/2020,277,6,0
CA,Santa Barbara,California,US,"Santa Barbara, CA",3/29/2020,64,0,0
CA,Santa Clara,California,US,"Santa Clara, CA",3/29/2020,646,25,0
CA,Santa Cruz,California,US,"Santa Cruz, CA",3/29/2020,44,1,0
CA,Shasta,California,US,"Shasta, CA",3/29/2020,3,1,0
CA,Sierra,California,US,"Sierra, CA",3/29/2020,0,0,0
CA,Siskiyou,California,US,"Siskiyou, CA",3/29/2020,3,0,0
CA,Solano,California,US,"Solano, CA",3/29/2020,34,0,0
CA,Sonoma,California,US,"Sonoma, CA",3/29/2020,44,1,13
CA,Stanislaus,California,US,"Stanislaus, CA",3/29/2020,29,0,0
CA,Sutter,California,US,"Sutter, CA",3/29/2020,6,0,0
CA,Tehama,California,US,"Tehama, CA",3/29/2020,0,0,0
CA,Trinity,California,US,"Trinity, CA",3/29/2020,0,0,0
CA,Tulare,California,US,"Tulare, CA",3/29/2020,29,1,0
CA,Tuolumne,California,US,"Tuolumne, CA",3/29/2020,0,0,0
CA,Ventura,California,US,"Ventura, CA",3/29/2020,109,4,0
CA,Yolo,California,US,"Yolo, CA",3/29/2020,16,1,0
CA,Yuba,California,US,"Yuba, CA",3/29/2020,3,0,0
Colorado,Aaall,Colorado,US,Colorado,3/29/2020,2307,47,0
CO,Adams,Colorado,US,"Adams, CO",3/29/2020,110,0,0
CO,Alamosa,Colorado,US,"Alamosa, CO",3/29/2020,1,0,0
CO,Arapahoe,Colorado,US,"Arapahoe, CO",3/29/2020,241,0,0
CO,Archuleta,Colorado,US,"Archuleta, CO",3/29/2020,0,0,0
CO,Baca,Colorado,US,"Baca, CO",3/29/2020,1,0,0
CO,Bent,Colorado,US,"Bent, CO",3/29/2020,0,0,0
CO,Boulder,Colorado,US,"Boulder, CO",3/29/2020,90,0,0
CO,Broomfield,Colorado,US,"Broomfield, CO",3/29/2020,17,0,0
CO,Chaffee,Colorado,US,"Chaffee, CO",3/29/2020,15,0,0
CO,Cheyenne,Colorado,US,"Cheyenne, CO",3/29/2020,0,0,0
CO,Clear Creek,Colorado,US,"Clear Creek, CO",3/29/2020,3,0,0
CO,Conejos,Colorado,US,"Conejos, CO",3/29/2020,0,0,0
CO,Costilla,Colorado,US,"Costilla, CO",3/29/2020,1,0,0
CO,Crowley,Colorado,US,"Crowley, CO",3/29/2020,1,1,0
CO,Custer,Colorado,US,"Custer, CO",3/29/2020,0,0,0
CO,Delta,Colorado,US,"Delta, CO",3/29/2020,1,0,0
CO,Denver,Colorado,US,"Denver, CO",3/29/2020,408,0,0
