"state_abbv","county","state_name","country","county_state","Date","Confirmed","Deaths","Recovered"
"AR","Boone","Arkansas","US","Boone, AR",2020-03-21,1,0,0
"AR","Bradley","Arkansas","US","Bradley, AR",2020-03-21,2,0,0
"AR","Calhoun","Arkansas","US","Calhoun, AR",2020-03-21,0,0,0
"AR","Carroll","Arkansas","US","Carroll, AR",2020-03-21,0,0,0
"AR","Chicot","Arkansas","US","Chicot, AR",2020-03-21,0,0,0
"AR","Clark","Arkansas","US","Clark, AR",2020-03-21,3,0,0
"AR","Clay","Arkansas","US","Clay, AR",2020-03-21,0,0,0
"AR","Cleburne","Arkansas","US","Cleburne, AR",2020-03-21,22,0,0
"AR","Cleveland","Arkansas","US","Cleveland, AR",2020-03-21,3,0,0
"AR","Columbia","Arkansas","US","Columbia, AR",2020-03-21,0,0,0
"AR","Conway","Arkansas","US","Conway, AR",2020-03-21,0,0,0
"AR","Craighead","Arkansas","US","Craighead, AR",2020-03-21,1,0,0
"AR","Crawford","Arkansas","US","Crawford, AR",2020-03-21,0,0,0
"AR","Crittenden","Arkansas","US","Crittenden, AR",2020-03-21,1,0,0
"AR","Cross","Arkansas","US","Cross, AR",2020-03-21,0,0,0
"AR","Dallas","Arkansas","US","Dallas, AR",2020-03-21,0,0,0
"AR","Desha","Arkansas","US","Desha, AR",2020-03-21,4,0,0
"AR","Drew","Arkansas","US","Drew, AR",2020-03-21,0,0,0
"AR","Faulkner","Arkansas","US","Faulkner, AR",2020-03-21,1,0,0
"AR","Franklin","Arkansas","US","Franklin, AR",2020-03-21,0,0,0
"AR","Fulton","Arkansas","US","Fulton, AR",2020-03-21,0,0,0
"AR","Garland","Arkansas","US","Garland, AR",2020-03-21,6,0,0
"AR","Grant","Arkansas","US","Grant, AR",2020-03-21,1,0,0
"AR","Greene","Arkansas","US","Greene, AR",2020-03-21,1,0,0
"AR","Hempstead","Arkansas","US","Hempstead, AR",2020-03-21,0,0,0
"AR","Hot Spring","Arkansas","US","Hot Spring, AR",2020-03-21,0,0,0
"AR","Howard","Arkansas","US","Howard, AR",2020-03-21,0,0,0
"AR","Independence","Arkansas","US","Independence, AR",2020-03-21,1,0,0
"AR","Izard","Arkansas","US","Izard, AR",2020-03-21,0,0,0
"AR","Jackson","Arkansas","US","Jackson, AR",2020-03-21,0,0,0
"AR","Jefferson","Arkansas","US","Jefferson, AR",2020-03-21,19,0,0
"AR","Johnson","Arkansas","US","Johnson, AR",2020-03-21,0,0,0
"AR","Lafayette","Arkansas","US","Lafayette, AR",2020-03-21,0,0,0
"AR","Lawrence","Arkansas","US","Lawrence, AR",2020-03-21,0,0,0
"AR","Lee","Arkansas","US","Lee, AR",2020-03-21,0,0,0
"AR","Lincoln","Arkansas","US","Lincoln, AR",2020-03-21,1,0,0
"AR","Little River","Arkansas","US","Little River, AR",2020-03-21,0,0,0
"AR","Logan","Arkansas","US","Logan, AR",2020-03-21,0,0,0
"AR","Lonoke","Arkansas","US","Lonoke, AR",2020-03-21,0,0,0
"AR","Madison","Arkansas","US","Madison, AR",2020-03-21,0,0,0
"AR","Marion","Arkansas","US","Marion, AR",2020-03-21,0,0,0
"AR","Miller","Arkansas","US","Miller, AR",2020-03-21,0,0,0
"AR","Mississippi","Arkansas","US","Mississippi, AR",2020-03-21,0,0,0
"AR","Monroe","Arkansas","US","Monroe, AR",2020-03-21,0,0,0
"AR","Montgomery","Arkansas","US","Montgomery, AR",2020-03-21,0,0,0
"AR","Nevada","Arkansas","US","Nevada, AR",2020-03-21,0,0,0
"AR","Newton","Arkansas","US","Newton, AR",2020-03-21,0,0,0
"AR","Ouachita","Arkansas","US","Ouachita, AR",2020-03-21,0,0,0
"AR","Perry","Arkansas","US","Perry, AR",2020-03-21,0,0,0
"AR","Phillips","Arkansas","US","Phillips, AR",2020-03-21,0,0,0
"AR","Pike","Arkansas","US","Pike, AR",2020-03-21,0,0,0
"AR","Poinsett","Arkansas","US","Poinsett, AR",2020-03-21,1,0,0
"AR","Polk","Arkansas","US","Polk, AR",2020-03-21,3,0,0
"AR","Pope","Arkansas","US","Pope, AR",2020-03-21,1,0,0
"AR","Prairie","Arkansas","US","Prairie, AR",2020-03-21,0,0,0
"AR","Pulaski","Arkansas","US","Pulaski, AR",2020-03-21,28,0,0
"AR","Randolph","Arkansas","US","Randolph, AR",2020-03-21,0,0,0
"AR","Saline","Arkansas","US","Saline, AR",2020-03-21,4,0,0
"AR","Scott","Arkansas","US","Scott, AR",2020-03-21,0,0,0
"AR","Searcy","Arkansas","US","Searcy, AR",2020-03-21,1,0,0
"AR","Sebastian","Arkansas","US","Sebastian, AR",2020-03-21,1,0,0
"AR","Sevier","Arkansas","US","Sevier, AR",2020-03-21,1,0,0
"AR","Sharp","Arkansas","US","Sharp, AR",2020-03-21,0,0,0
"AR","St. Francis","Arkansas","US","St. Francis, AR",2020-03-21,0,0,0
"AR","Stone","Arkansas","US","Stone, AR",2020-03-21,0,0,0
"AR","Union","Arkansas","US","Union, AR",2020-03-21,0,0,0
"AR","Van Buren","Arkansas","US","Van Buren, AR",2020-03-21,1,0,0
"AR","Washington","Arkansas","US","Washington, AR",2020-03-21,1,0,0
"AR","White","Arkansas","US","White, AR",2020-03-21,0,0,0
"AR","Woodruff","Arkansas","US","Woodruff, AR",2020-03-21,0,0,0
"AR","Yell","Arkansas","US","Yell, AR",2020-03-21,0,0,0
"California","Aaall","California","US","California",2020-03-21,1364,24,3
"CA","Alameda","California","US","Alameda, CA",2020-03-21,65,0,0
"CA","Alpine","California","US","Alpine, CA",2020-03-21,0,0,0
"CA","Amador","California","US","Amador, CA",2020-03-21,2,0,0
"CA","Butte","California","US","Butte, CA",2020-03-21,1,0,0
"CA","Calaveras","California","US","Calaveras, CA",2020-03-21,2,0,0
"CA","Colusa","California","US","Colusa, CA",2020-03-21,0,0,0
"CA","Contra Costa","California","US","Contra Costa, CA",2020-03-21,51,1,0
"CA","Del Norte","California","US","Del Norte, CA",2020-03-21,0,0,0
"CA","El Dorado","California","US","El Dorado, CA",2020-03-21,2,0,0
"CA","Fresno","California","US","Fresno, CA",2020-03-21,6,0,0
"CA","Glenn","California","US","Glenn, CA",2020-03-21,0,0,0
"CA","Humboldt","California","US","Humboldt, CA",2020-03-21,1,0,0
"CA","Imperial","California","US","Imperial, CA",2020-03-21,4,0,0
"CA","Inyo","California","US","Inyo, CA",2020-03-21,0,0,0
"CA","Kern","California","US","Kern, CA",2020-03-21,4,0,0
"CA","Kings","California","US","Kings, CA",2020-03-21,0,0,0
"CA","Lake","California","US","Lake, CA",2020-03-21,0,0,0
"CA","Lassen","California","US","Lassen, CA",2020-03-21,0,0,0
"CA","Los Angeles","California","US","Los Angeles, CA",2020-03-21,292,2,0
"CA","Madera","California","US","Madera, CA",2020-03-21,2,0,1
